Show Code,Date,People,Media Type,Media Code,Media URL,Media Title,
199,3/27/14,Dan Siege,1,https://www.youtube.com/watch?v=kHZzhKyBW-I&index=325&list=PLGGpadyh0wS589np9dre-nOeGfzRfutmQ,,"Dan Siegel: ""Brainstorm: The Power and Purpose of the Teenage Brain"" | Talks at Google",
199,3/27/14,Elizabeth Economy|Michael Levi,1,https://www.youtube.com/watch?v=d0u2f6nwwA8&index=330&list=PLGGpadyh0wS589np9dre-nOeGfzRfutmQ,,"Elizabeth Economy & Michael Levi: ""By All Means Necessary"" | Talks at Google",
199,3/28/14,Patrick Rothfuss,1,https://www.youtube.com/watch?v=hLmI-gsRWLw&list=PLGGpadyh0wS589np9dre-nOeGfzRfutmQ&index=101,,"Patrick Rothfuss: ""A Writer of Things"" | Talks at Google",
199,3/31/14,Paul Sabin,1,https://www.youtube.com/watch?v=p9JG02YRtOc&index=326&list=PLGGpadyh0wS589np9dre-nOeGfzRfutmQ,,"Paul Sabin: ""The Bet: Our Gamble for Earth's Future"" | Talks at Google",
199,3/31/14,Sharon Salzberg,1,https://www.youtube.com/watch?v=hhPmTeKSWSw&index=327&list=PLGGpadyh0wS589np9dre-nOeGfzRfutmQ,,"Sharon Salzberg: ""Real Happiness at Work"" | Talks at Google",
199,3/31/14,Svante Paabo,1,https://www.youtube.com/watch?v=JcyGIwJXGLw&index=328&list=PLGGpadyh0wS589np9dre-nOeGfzRfutmQ,,"Svante Paabo: ""Neanderthal Man: In Search of Lost Genomes"" | Talks at Google",
199,4/1/14,Erica Peters,1,https://www.youtube.com/watch?v=WadnFAMUJkI&index=323&list=PLGGpadyh0wS589np9dre-nOeGfzRfutmQ,,"Erica Peters: ""San Francisco: a Food Biography"" | Talks at Google",
199,4/4/14,Arianna Huffington,1,https://www.youtube.com/watch?v=jtagD45fCMo&index=322&list=PLGGpadyh0wS589np9dre-nOeGfzRfutmQ,,"Arianna Huffington: ""Thrive"" | Talks at Google",
199,4/7/14,Rob Baedeker|Chris Colin,1,https://www.youtube.com/watch?v=9gFhhQcUfO4&index=324&list=PLGGpadyh0wS589np9dre-nOeGfzRfutmQ,,"Rob Baedeker & Chris Colin: ""What to Talk About""| Talks at Google",
199,4/8/14,Noam Chomsky,1,https://www.youtube.com/watch?v=Y3PwG4UoJ0Y&index=354&list=PLGGpadyh0wS589np9dre-nOeGfzRfutmQ,,Noam Chomsky 2014 | Talks at Google,
199,4/11/14,Aubrey de Grey,1,https://www.youtube.com/watch?v=tXJzvo0Jekc&index=315&list=PLGGpadyh0wS589np9dre-nOeGfzRfutmQ,,"Aubrey de Grey: ""Ending Aging"" | Talks at Google",
199,4/14/14,Betsy Brown Braun,1,https://www.youtube.com/watch?v=OUe25Lp0cDg&index=18&list=PLGGpadyh0wS589np9dre-nOeGfzRfutmQ,,"Betsy Brown Braun: ""You're not the Boss of Me"" | Talks at Google",
199,4/15/14,Jeremy Rifkin,1,https://www.youtube.com/watch?v=5-iDUcETjvo&index=16&list=PLGGpadyh0wS589np9dre-nOeGfzRfutmQ,,"Jeremy Rifkin: ""The Zero Marginal Cost Society"" | Talks at Google",
199,4/18/14,John Mayer,1,https://www.youtube.com/watch?v=RHKYxVjLbkY&index=316&list=PLGGpadyh0wS589np9dre-nOeGfzRfutmQ,,"John Mayer: ""Personal Intelligence: The Power of Personality and..."" | Talks at Google",
199,4/18/14,Christine Bader,1,https://www.youtube.com/watch?v=O_57_bGDXdo&index=317&list=PLGGpadyh0wS589np9dre-nOeGfzRfutmQ,,"Christine Bader: ""The Evolution of a Corporate Idealist: When Girl Meets Oil"" | Talks at Google",
199,4/18/14,Jared Diamond,1,https://www.youtube.com/watch?v=i-TIvvI_bKw&index=319&list=PLGGpadyh0wS589np9dre-nOeGfzRfutmQ,,"Jared Diamond: ""The Third Chimpanzee"" | Talks at Google",
199,4/22/14,Emma Donoghue,1,https://www.youtube.com/watch?v=L97REgEmL2E&index=318&list=PLGGpadyh0wS589np9dre-nOeGfzRfutmQ,,"Emma Donoghue: ""Frog Music"" | Talks at Google",
199,4/27/14,Anat Admati,1,https://www.youtube.com/watch?v=0kdYHG32oig&index=314&list=PLGGpadyh0wS589np9dre-nOeGfzRfutmQ,,"Anat Admati: ""What's Wrong with Banking and What to Do About It"" | Talks at Google",
199,4/28/14,Annalee Newitz,1,https://www.youtube.com/watch?v=X1Pdx1BYRAU&index=313&list=PLGGpadyh0wS589np9dre-nOeGfzRfutmQ,,"Annalee Newitz: ""Scatter, Adapt, and Remember: How Humans Will Survive a Mass Extinction""",
